[01:26:50.647] [INFO] ============================================================
[01:26:50.647] [INFO] 🎓 Dil Evi — English Lesson (DEBUG MODE)
[01:26:50.648] [INFO] ============================================================
[01:26:50.648] [INFO] Log file: debug_20260419_012650.log
[01:26:50.648] [INFO] Teacher: Amelia
[01:26:50.650] [INFO] Level: A2
[01:26:52.054] [INFO] Waiting for user input...
[01:26:52.068] [DEBUG] VAD: is_speech=False, energy=0.0181, is_playing=False
[01:26:52.098] [DEBUG] VAD: is_speech=False, energy=0.0165, is_playing=False
[01:26:52.128] [DEBUG] VAD: is_speech=False, energy=0.0191, is_playing=False
[01:26:52.159] [DEBUG] VAD: is_speech=False, energy=0.0184, is_playing=False
[01:26:52.188] [DEBUG] VAD: is_speech=False, energy=0.0181, is_playing=False
[01:26:52.219] [DEBUG] VAD: is_speech=False, energy=0.0176, is_playing=False
[01:26:52.250] [DEBUG] VAD: is_speech=False, energy=0.0178, is_playing=False
[01:26:52.281] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:52.311] [DEBUG] VAD: is_speech=False, energy=0.0178, is_playing=False
[01:26:52.341] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:52.372] [DEBUG] VAD: is_speech=False, energy=0.0198, is_playing=False
[01:26:52.403] [DEBUG] VAD: is_speech=False, energy=0.0198, is_playing=False
[01:26:52.433] [DEBUG] VAD: is_speech=False, energy=0.0203, is_playing=False
[01:26:52.464] [DEBUG] VAD: is_speech=False, energy=0.0188, is_playing=False
[01:26:52.493] [DEBUG] VAD: is_speech=False, energy=0.0207, is_playing=False
[01:26:52.525] [DEBUG] VAD: is_speech=False, energy=0.0210, is_playing=False
[01:26:52.555] [DEBUG] VAD: is_speech=False, energy=0.0206, is_playing=False
[01:26:52.585] [DEBUG] VAD: is_speech=False, energy=0.0203, is_playing=False
[01:26:52.615] [DEBUG] VAD: is_speech=False, energy=0.0194, is_playing=False
[01:26:52.646] [DEBUG] VAD: is_speech=False, energy=0.0205, is_playing=False
[01:26:52.677] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:52.696] [DEBUG] VAD: is_speech=False, energy=0.0227, is_playing=False
[01:26:52.727] [DEBUG] VAD: is_speech=False, energy=0.0221, is_playing=False
[01:26:52.757] [DEBUG] VAD: is_speech=False, energy=0.0216, is_playing=False
[01:26:52.789] [DEBUG] VAD: is_speech=False, energy=0.0199, is_playing=False
[01:26:52.819] [DEBUG] VAD: is_speech=False, energy=0.0208, is_playing=False
[01:26:52.850] [DEBUG] VAD: is_speech=False, energy=0.0204, is_playing=False
[01:26:52.880] [DEBUG] VAD: is_speech=False, energy=0.0217, is_playing=False
[01:26:52.911] [DEBUG] VAD: is_speech=False, energy=0.0199, is_playing=False
[01:26:52.941] [DEBUG] VAD: is_speech=False, energy=0.0203, is_playing=False
[01:26:52.971] [DEBUG] VAD: is_speech=False, energy=0.0187, is_playing=False
[01:26:53.002] [DEBUG] VAD: is_speech=False, energy=0.0176, is_playing=False
[01:26:53.032] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:53.062] [DEBUG] VAD: is_speech=False, energy=0.0182, is_playing=False
[01:26:53.093] [DEBUG] VAD: is_speech=False, energy=0.0204, is_playing=False
[01:26:53.123] [DEBUG] VAD: is_speech=False, energy=0.0202, is_playing=False
[01:26:53.154] [DEBUG] VAD: is_speech=False, energy=0.0211, is_playing=False
[01:26:53.185] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:53.215] [DEBUG] VAD: is_speech=False, energy=0.0208, is_playing=False
[01:26:53.246] [DEBUG] VAD: is_speech=False, energy=0.0204, is_playing=False
[01:26:53.276] [DEBUG] VAD: is_speech=False, energy=0.0176, is_playing=False
[01:26:53.306] [DEBUG] VAD: is_speech=False, energy=0.0177, is_playing=False
[01:26:53.337] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:53.357] [DEBUG] VAD: is_speech=False, energy=0.0173, is_playing=False
[01:26:53.387] [DEBUG] VAD: is_speech=False, energy=0.0186, is_playing=False
[01:26:53.418] [DEBUG] VAD: is_speech=False, energy=0.0181, is_playing=False
[01:26:53.448] [DEBUG] VAD: is_speech=False, energy=0.0201, is_playing=False
[01:26:53.479] [DEBUG] VAD: is_speech=False, energy=0.0169, is_playing=False
[01:26:53.510] [DEBUG] VAD: is_speech=False, energy=0.0181, is_playing=False
[01:26:53.541] [DEBUG] VAD: is_speech=False, energy=0.0186, is_playing=False
[01:26:53.570] [DEBUG] VAD: is_speech=False, energy=0.0217, is_playing=False
[01:26:53.602] [DEBUG] VAD: is_speech=False, energy=0.0177, is_playing=False
[01:26:53.631] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:53.662] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:53.693] [DEBUG] VAD: is_speech=False, energy=0.0184, is_playing=False
[01:26:53.723] [DEBUG] VAD: is_speech=False, energy=0.0180, is_playing=False
[01:26:53.753] [DEBUG] VAD: is_speech=False, energy=0.0182, is_playing=False
[01:26:53.784] [DEBUG] VAD: is_speech=False, energy=0.0172, is_playing=False
[01:26:53.814] [DEBUG] VAD: is_speech=False, energy=0.0181, is_playing=False
[01:26:53.846] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:53.876] [DEBUG] VAD: is_speech=False, energy=0.0187, is_playing=False
[01:26:53.906] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:53.936] [DEBUG] VAD: is_speech=False, energy=0.0206, is_playing=False
[01:26:53.966] [DEBUG] VAD: is_speech=False, energy=0.0219, is_playing=False
[01:26:53.988] [DEBUG] VAD: is_speech=False, energy=0.0214, is_playing=False
[01:26:54.018] [DEBUG] VAD: is_speech=False, energy=0.0195, is_playing=False
[01:26:54.047] [DEBUG] VAD: is_speech=False, energy=0.0196, is_playing=False
[01:26:54.078] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:54.108] [DEBUG] VAD: is_speech=False, energy=0.0184, is_playing=False
[01:26:54.140] [DEBUG] VAD: is_speech=False, energy=0.0166, is_playing=False
[01:26:54.170] [DEBUG] VAD: is_speech=False, energy=0.0188, is_playing=False
[01:26:54.200] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:54.231] [DEBUG] VAD: is_speech=False, energy=0.0190, is_playing=False
